[2026-02-21 13:39:00.705] [info]  DiscordSplash.signalReady
[2026-02-21 13:39:00.732] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2026-02-21 13:39:00.733] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2026-02-21 13:39:00.745] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2026-02-21 13:39:00.749] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2026-02-21 13:39:00.749] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2026-02-21 13:39:00.750] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2026-02-21 13:39:00.750] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2026-02-21 13:39:00.750] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2026-02-21 13:39:00.750] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2026-02-21 13:39:00.751] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2026-02-21 13:39:00.751] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2026-02-21 13:39:00.751] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2026-02-21 13:39:00.754] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2026-02-21 13:39:00.755] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2026-02-21 13:39:01.108] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2026-02-21 13:39:01.108] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2026-02-21 13:39:01.477] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2026-02-21 13:39:01.478] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2026-02-21 13:39:01.481] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2026-02-21 13:39:01.481] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2026-02-21 13:39:01.488] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2026-02-21 13:39:01.488] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2026-02-21 13:39:01.489] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2026-02-21 13:39:01.489] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2026-02-21 13:39:01.497] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2026-02-21 13:39:01.497] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2026-02-21 13:39:01.499] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2026-02-21 13:39:01.500] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2026-02-21 13:39:01.502] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2026-02-21 13:39:01.503] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2026-02-21 13:39:01.506] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":12}
[2026-02-21 13:39:01.507] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":12}
